,Open,High,Low,Close,Volume
2022-02-03 09:00:00-05:00,3.66,3.66,3.57,3.58,0
2022-02-03 09:30:00-05:00,3.640000104904175,3.740000009536743,3.5799999237060547,3.6600000858306885,398814
2022-02-03 10:30:00-05:00,3.6700000762939453,3.684999942779541,3.5999999046325684,3.649899959564209,176334
2022-02-03 11:30:00-05:00,3.6500000953674316,3.6600000858306885,3.5899999141693115,3.609999895095825,209884
2022-02-03 12:30:00-05:00,3.609999895095825,3.640000104904175,3.5799999237060547,3.5950000286102295,88355
2022-02-03 13:30:00-05:00,3.5899999141693115,3.619999885559082,3.569999933242798,3.5899999141693115,125935
2022-02-03 14:30:00-05:00,3.5799999237060547,3.5850000381469727,3.5299999713897705,3.555000066757202,170866
2022-02-03 15:30:00-05:00,3.549999952316284,3.559999942779541,3.5199999809265137,3.5250000953674316,192536
2022-02-03 16:00:00-05:00,3.53,3.53,3.53,3.53,0
2022-02-04 14:30:00-05:00,4.179900169372559,4.25,4.139999866485596,4.199999809265137,6695992
2022-02-04 15:30:00-05:00,4.210000038146973,4.260000228881836,4.119999885559082,4.130099773406982,780494
2022-02-04 16:00:00-05:00,4.13,4.2,4.1,4.16,0
2022-02-04 17:00:00-05:00,4.1599,4.16,4.11,4.16,0
2022-02-04 18:00:00-05:00,4.17,4.28,4.17,4.27,0
2022-02-07 16:00:00-05:00,4.25,4.25,4.25,4.25,104254
2022-02-08 04:00:00-05:00,4.3,4.31,4.11,4.24,0
2022-02-08 05:00:00-05:00,4.24,4.24,4.14,4.22,0
2022-02-08 06:00:00-05:00,4.19,4.26,4.18,4.26,0
2022-02-08 07:00:00-05:00,4.23,4.23,4.19,4.19,0
2022-02-08 08:00:00-05:00,4.19,4.28,4.15,4.25,0
2022-02-08 09:00:00-05:00,4.28,4.35,4.24,4.24,0
2022-02-08 09:30:00-05:00,4.21999979019165,4.36899995803833,4.150000095367432,4.304999828338623,1336761
2022-02-08 10:30:00-05:00,4.300000190734863,4.465000152587891,4.269999980926514,4.341599941253662,777497
2022-02-08 11:30:00-05:00,4.340000152587891,4.369999885559082,4.269999980926514,4.28000020980835,464001
2022-02-08 12:30:00-05:00,4.28000020980835,4.329999923706055,4.260000228881836,4.309999942779541,332027
2022-02-08 13:30:00-05:00,4.309999942779541,4.349999904632568,4.2195000648498535,4.21999979019165,348449
2022-02-08 14:30:00-05:00,4.21999979019165,4.239999771118164,4.159999847412109,4.199999809265137,358735
2022-02-08 15:30:00-05:00,4.204999923706055,4.329999923706055,4.204999923706055,4.309999942779541,521291
2022-02-08 16:00:00-05:00,4.31,4.33,4.26,4.3174,0
2022-02-08 17:00:00-05:00,4.28,4.33,4.28,4.33,0
2022-02-08 18:00:00-05:00,4.32,4.34,4.32,4.34,0
2022-02-09 04:00:00-05:00,4.31,4.31,4.31,4.31,0
2022-02-09 05:00:00-05:00,4.3,4.31,4.3,4.31,0
2022-02-09 06:00:00-05:00,4.27,4.32,4.27,4.32,0
2022-02-09 07:00:00-05:00,4.36,4.44,4.36,4.44,0
2022-02-09 08:00:00-05:00,4.41,4.45,4.4,4.42,0
2022-02-09 09:00:00-05:00,4.42,4.45,4.4,4.4,0
2022-02-09 09:30:00-05:00,4.400000095367432,4.510000228881836,4.367199897766113,4.5,1010302
2022-02-09 10:30:00-05:00,4.5,4.570000171661377,4.466899871826172,4.550000190734863,549100
2022-02-09 11:30:00-05:00,4.530600070953369,4.570000171661377,4.489999771118164,4.565000057220459,429323
2022-02-09 12:30:00-05:00,4.56220006942749,4.705699920654297,4.5584001541137695,4.639999866485596,662262
2022-02-09 13:30:00-05:00,4.635000228881836,4.710000038146973,4.570799827575684,4.710000038146973,492002
2022-02-09 14:30:00-05:00,4.704999923706055,4.730000019073486,4.619999885559082,4.664999961853027,462021
2022-02-09 15:30:00-05:00,4.670000076293945,4.710000038146973,4.650000095367432,4.699999809265137,318047
2022-02-09 16:00:00-05:00,4.69,4.75,4.68,4.75,0
2022-02-09 17:00:00-05:00,4.75,4.75,4.72,4.72,0
2022-02-09 18:00:00-05:00,4.75,4.76,4.72,4.76,0
2022-02-10 04:00:00-05:00,4.76,4.86,4.72,4.83,0
2022-02-10 05:00:00-05:00,4.82,4.83,4.78,4.8,0
2022-02-10 06:00:00-05:00,4.8,4.81,4.79,4.8,0
2022-02-10 07:00:00-05:00,4.83,4.9,4.81,4.88,0
2022-02-10 08:00:00-05:00,4.87,4.9,4.75,4.83,0
2022-02-10 09:00:00-05:00,4.8,4.81,4.37,4.5,0
2022-02-10 09:30:00-05:00,4.473100185394287,4.829999923706055,4.429999828338623,4.801000118255615,1579644
2022-02-10 10:30:00-05:00,4.801000118255615,4.980000019073486,4.739999771118164,4.980000019073486,1244919
2022-02-10 11:30:00-05:00,4.96999979019165,5.349999904632568,4.909999847412109,5.319900035858154,2178000
2022-02-10 12:30:00-05:00,5.329999923706055,5.340000152587891,4.949999809265137,4.971099853515625,1786356
2022-02-10 13:30:00-05:00,4.96999979019165,5.050000190734863,4.889999866485596,4.909999847412109,949859
2022-02-10 14:30:00-05:00,4.909999847412109,4.980000019073486,4.760000228881836,4.769999980926514,809911
2022-02-10 15:30:00-05:00,4.760000228881836,4.760000228881836,4.639999866485596,4.699999809265137,684142
2022-02-10 16:00:00-05:00,4.71,4.74,4.65,4.72,0
2022-02-10 17:00:00-05:00,4.73,4.73,4.66,4.69,0
2022-02-10 18:00:00-05:00,4.71,4.73,4.71,4.73,0
2022-02-11 04:00:00-05:00,4.66,5.03,4.64,4.65,0
2022-02-11 05:00:00-05:00,4.66,4.66,4.65,4.66,0
2022-02-11 06:00:00-05:00,4.66,4.7,4.66,4.7,0
2022-02-11 07:00:00-05:00,4.68,4.7,4.64,4.68,0
2022-02-11 08:00:00-05:00,4.69,4.79,4.65,4.74,0
